Iteration 0 bitflips:
Victim row 5298: 1
Iteration 9 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 10 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 11 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 12 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 13 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 14 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 15 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 16 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 17 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 18 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 19 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 20 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 21 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 22 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 23 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 0
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 24 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 25 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 26 bitflips:
Victim row 1814: 0
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 27 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 28 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 29 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 30 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 31 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 32 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 33 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 34 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 35 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 36 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 37 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 38 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 39 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 40 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 41 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 42 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 43 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 44 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 45 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 46 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 0
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 47 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 48 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 49 bitflips:
Victim row 1814: 1
Victim row 1822: 0
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 50 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 51 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 52 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 53 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 54 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 55 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 56 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 57 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 58 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 59 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 60 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 61 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 62 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 63 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 64 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 65 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 66 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 67 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 68 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 69 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 70 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 71 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 72 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 73 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 74 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 75 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 76 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 77 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 78 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 79 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 80 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 81 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 82 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 83 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 84 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 85 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 86 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 87 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 88 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 89 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 90 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 91 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 92 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 93 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 94 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 95 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 96 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 97 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 98 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 99 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Total bitflips:
Victim row 1814: 99
Victim row 1822: 99
Victim row 2918: 99
Victim row 2926: 99
Victim row 2933: 100
Victim row 2935: 100
Victim row 4227: 100
Victim row 4229: 100
Victim row 5296: 100
Victim row 5298: 100
