Iteration 0 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 0
Victim row 2926: 0
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 1 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 2 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 3 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 4 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 5 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 6 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 7 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 1
Victim row 2926: 1
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
Victim row 5298: 1
Iteration 8 bitflips:
Victim row 1814: 1
Victim row 1822: 1
Victim row 2918: 0
Victim row 2926: 0
Victim row 2933: 1
Victim row 2935: 1
Victim row 4227: 1
Victim row 4229: 1
Victim row 5296: 1
